-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
-1,8,-1,-1,16,-1,-1,5,-1,-1,17,-1,-1,8,-1
-1,-1,-1,-1,14,-1,-1,4,-1,-1,14,-1,-1,-1,-1
-1,-1,-1,-1,8,9,42,3,14,9,8,-1,-1,-1,-1
-1,-1,-1,-1,8,9,10,0,11,9,8,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,9,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,9,17
-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1
-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1
